n,r,m
"(:课程目标 {编号: 1,内容: 能够课前自学基础知识，课后具备应用管理会计方法和知识的能力，将信息量化·质化，用于规划·决策·业绩评估与管理控制。并且能够基于,所属课程: Performance Management})",[:支撑 {支撑强度: H}],"(:毕业要求 {标题: 学习发展,编号: 9,内容: 具有较强的自学能力，能够自主探索学习会计学科前沿问题和国际会计创新业务，具备终身学习意识，适应国际会计行业的持续发展和变化})"
"(:课程目标 {编号: 4,内容: 具有较强的组织沟通能力·国际化视野以及批判性思维，了解本学科的理论前沿和发展动态。具有运用定性·定量方法分析解决实际问题的能力，具备一定的创新创业能力。,所属课程: Performance Management})",[:支撑 {支撑强度: H}],"(:毕业要求 {标题: 学习发展,编号: 9,内容: 具有较强的自学能力，能够自主探索学习会计学科前沿问题和国际会计创新业务，具备终身学习意识，适应国际会计行业的持续发展和变化})"
"(:教学单元 {标题: Specialist cost and management accounting techniques,内容: 了解五种成本法的概念，掌握作业成本法、目标成本法和生命周期成本法、产量会计以及环境成本法。
重点：作业成本法、产量会计、产品生命周期，降低产品成本方法。
难点：确定生产瓶颈，分析费用的驱动因素。})",[:支撑],"(:课程目标 {编号: 1,内容: 能够课前自学基础知识，课后具备应用管理会计方法和知识的能力，将信息量化·质化，用于规划·决策·业绩评估与管理控制。并且能够基于,所属课程: Performance Management})"
"(:教学单元 {标题: Specialist cost and management accounting techniques,内容: 了解五种成本法的概念，掌握作业成本法、目标成本法和生命周期成本法、产量会计以及环境成本法。
重点：作业成本法、产量会计、产品生命周期，降低产品成本方法。
难点：确定生产瓶颈，分析费用的驱动因素。})",[:支撑],"(:课程目标 {编号: 2,内容: 具有职业判断能力·专业水准和高的道德标准，通过敏锐的洞察力对信息进行恰当分析，及时分析和解决会计实际问题，提供决策支持和规避风险的合理建议。,所属课程: Performance Management})"
"(:教学单元 {标题: Specialist cost and management accounting techniques,内容: 了解五种成本法的概念，掌握作业成本法、目标成本法和生命周期成本法、产量会计以及环境成本法。
重点：作业成本法、产量会计、产品生命周期，降低产品成本方法。
难点：确定生产瓶颈，分析费用的驱动因素。})",[:支撑],"(:课程目标 {编号: 3,内容: 熟练掌握英语，具有较强的语言与文字表达·人际沟通以及分析和解决会计实际问题的基本能力。,所属课程: Performance Management})"
"(:教学单元 {标题: Specialist cost and management accounting techniques,内容: 了解五种成本法的概念，掌握作业成本法、目标成本法和生命周期成本法、产量会计以及环境成本法。
重点：作业成本法、产量会计、产品生命周期，降低产品成本方法。
难点：确定生产瓶颈，分析费用的驱动因素。})",[:支撑],"(:课程目标 {编号: 4,内容: 具有较强的组织沟通能力·国际化视野以及批判性思维，了解本学科的理论前沿和发展动态。具有运用定性·定量方法分析解决实际问题的能力，具备一定的创新创业能力。,所属课程: Performance Management})"
"(:教学单元 {标题: Specialist cost and management accounting techniques,内容: 了解五种成本法的概念，掌握作业成本法、目标成本法和生命周期成本法、产量会计以及环境成本法。
重点：作业成本法、产量会计、产品生命周期，降低产品成本方法。
难点：确定生产瓶颈，分析费用的驱动因素。})",[:支撑],"(:课程目标 {编号: 5,内容: 具备信息技术应用能力，能利用excel工具去呈现和计算关键的数据信息帮助做出正确决策，能应用word工具去收集整合信息。,所属课程: Performance Management})"
"(:教学单元 {标题: Budgeting and control,内容: 预测技巧：如何预测产量与成本之间的关系，以及收入与时间的关系；7种预算系统的特征，适用性以及优缺点；通过研究学习曲线精准计算人工工时，合理制定人工生产标准；通过计算差异，分析差异背后的原因，并且给出解决方案执行控制，提升企业业绩表现。 
重点：预算系统，学习曲线，差异分析。
难点：差异的计算，以及基于计算结果进行业绩评估。})",[:支撑],"(:课程目标 {编号: 1,内容: 能够课前自学基础知识，课后具备应用管理会计方法和知识的能力，将信息量化·质化，用于规划·决策·业绩评估与管理控制。并且能够基于,所属课程: Performance Management})"
"(:教学单元 {标题: Budgeting and control,内容: 预测技巧：如何预测产量与成本之间的关系，以及收入与时间的关系；7种预算系统的特征，适用性以及优缺点；通过研究学习曲线精准计算人工工时，合理制定人工生产标准；通过计算差异，分析差异背后的原因，并且给出解决方案执行控制，提升企业业绩表现。 
重点：预算系统，学习曲线，差异分析。
难点：差异的计算，以及基于计算结果进行业绩评估。})",[:支撑],"(:课程目标 {编号: 2,内容: 具有职业判断能力·专业水准和高的道德标准，通过敏锐的洞察力对信息进行恰当分析，及时分析和解决会计实际问题，提供决策支持和规避风险的合理建议。,所属课程: Performance Management})"
"(:教学单元 {标题: Budgeting and control,内容: 预测技巧：如何预测产量与成本之间的关系，以及收入与时间的关系；7种预算系统的特征，适用性以及优缺点；通过研究学习曲线精准计算人工工时，合理制定人工生产标准；通过计算差异，分析差异背后的原因，并且给出解决方案执行控制，提升企业业绩表现。 
重点：预算系统，学习曲线，差异分析。
难点：差异的计算，以及基于计算结果进行业绩评估。})",[:支撑],"(:课程目标 {编号: 3,内容: 熟练掌握英语，具有较强的语言与文字表达·人际沟通以及分析和解决会计实际问题的基本能力。,所属课程: Performance Management})"
"(:教学单元 {标题: Budgeting and control,内容: 预测技巧：如何预测产量与成本之间的关系，以及收入与时间的关系；7种预算系统的特征，适用性以及优缺点；通过研究学习曲线精准计算人工工时，合理制定人工生产标准；通过计算差异，分析差异背后的原因，并且给出解决方案执行控制，提升企业业绩表现。 
重点：预算系统，学习曲线，差异分析。
难点：差异的计算，以及基于计算结果进行业绩评估。})",[:支撑],"(:课程目标 {编号: 4,内容: 具有较强的组织沟通能力·国际化视野以及批判性思维，了解本学科的理论前沿和发展动态。具有运用定性·定量方法分析解决实际问题的能力，具备一定的创新创业能力。,所属课程: Performance Management})"
"(:教学单元 {标题: Budgeting and control,内容: 预测技巧：如何预测产量与成本之间的关系，以及收入与时间的关系；7种预算系统的特征，适用性以及优缺点；通过研究学习曲线精准计算人工工时，合理制定人工生产标准；通过计算差异，分析差异背后的原因，并且给出解决方案执行控制，提升企业业绩表现。 
重点：预算系统，学习曲线，差异分析。
难点：差异的计算，以及基于计算结果进行业绩评估。})",[:支撑],"(:课程目标 {编号: 5,内容: 具备信息技术应用能力，能利用excel工具去呈现和计算关键的数据信息帮助做出正确决策，能应用word工具去收集整合信息。,所属课程: Performance Management})"
"(:教学单元 {标题: Performance measurement and control,内容: 如何对私营企业进行业绩评估：通过财务及非财务两个层面进行业绩评估，用平衡恒积分卡进行业绩评估，用积木模型进行业绩评估。如何对事业部进行业绩评估：ROI&RI对事业部进行业绩评估，转移定价。
重点：财务数据分析和非财务数据分析、平衡记分卡，积木模型，ROI&RI，转移定价。
难点：财务数据分析和非财务数据分析，转移定价。})",[:支撑],"(:课程目标 {编号: 1,内容: 能够课前自学基础知识，课后具备应用管理会计方法和知识的能力，将信息量化·质化，用于规划·决策·业绩评估与管理控制。并且能够基于,所属课程: Performance Management})"
"(:教学单元 {标题: Performance measurement and control,内容: 如何对私营企业进行业绩评估：通过财务及非财务两个层面进行业绩评估，用平衡恒积分卡进行业绩评估，用积木模型进行业绩评估。如何对事业部进行业绩评估：ROI&RI对事业部进行业绩评估，转移定价。
重点：财务数据分析和非财务数据分析、平衡记分卡，积木模型，ROI&RI，转移定价。
难点：财务数据分析和非财务数据分析，转移定价。})",[:支撑],"(:课程目标 {编号: 2,内容: 具有职业判断能力·专业水准和高的道德标准，通过敏锐的洞察力对信息进行恰当分析，及时分析和解决会计实际问题，提供决策支持和规避风险的合理建议。,所属课程: Performance Management})"
"(:教学单元 {标题: Performance measurement and control,内容: 如何对私营企业进行业绩评估：通过财务及非财务两个层面进行业绩评估，用平衡恒积分卡进行业绩评估，用积木模型进行业绩评估。如何对事业部进行业绩评估：ROI&RI对事业部进行业绩评估，转移定价。
重点：财务数据分析和非财务数据分析、平衡记分卡，积木模型，ROI&RI，转移定价。
难点：财务数据分析和非财务数据分析，转移定价。})",[:支撑],"(:课程目标 {编号: 3,内容: 熟练掌握英语，具有较强的语言与文字表达·人际沟通以及分析和解决会计实际问题的基本能力。,所属课程: Performance Management})"
"(:教学单元 {标题: Performance measurement and control,内容: 如何对私营企业进行业绩评估：通过财务及非财务两个层面进行业绩评估，用平衡恒积分卡进行业绩评估，用积木模型进行业绩评估。如何对事业部进行业绩评估：ROI&RI对事业部进行业绩评估，转移定价。
重点：财务数据分析和非财务数据分析、平衡记分卡，积木模型，ROI&RI，转移定价。
难点：财务数据分析和非财务数据分析，转移定价。})",[:支撑],"(:课程目标 {编号: 4,内容: 具有较强的组织沟通能力·国际化视野以及批判性思维，了解本学科的理论前沿和发展动态。具有运用定性·定量方法分析解决实际问题的能力，具备一定的创新创业能力。,所属课程: Performance Management})"
"(:教学单元 {标题: Performance measurement and control,内容: 如何对私营企业进行业绩评估：通过财务及非财务两个层面进行业绩评估，用平衡恒积分卡进行业绩评估，用积木模型进行业绩评估。如何对事业部进行业绩评估：ROI&RI对事业部进行业绩评估，转移定价。
重点：财务数据分析和非财务数据分析、平衡记分卡，积木模型，ROI&RI，转移定价。
难点：财务数据分析和非财务数据分析，转移定价。})",[:支撑],"(:课程目标 {编号: 5,内容: 具备信息技术应用能力，能利用excel工具去呈现和计算关键的数据信息帮助做出正确决策，能应用word工具去收集整合信息。,所属课程: Performance Management})"
(:教学单元 {标题: Decision making techniques}),[:包含],"(:章节 {中文: 相关成本分析,标题: Relevant cost analysis,编号: 4,内容: 本章涵盖以下学习目标：
    1. 相关成本分析：
    a. 解释相关成本的概念。
    b. 从给定数据中识别并计算特定决策情境下的相关成本。
    c. 解释并应用机会成本的概念。

    2. 制造或采购及其他短期决策：
    a. 解释有关制造与采购及外包决策的问题。
    b. 计算并比较“制造”成本与“采购”成本。
    c. 比较内部成本和外包完成任务的成本，并考虑与这些决策相关的其他问题。
    d. 在涉及停产、一次性合同和进一步处理联产品的情境中应用相关成本原则。})"
"(:章节 {中文: 相关成本分析,标题: Relevant cost analysis,编号: 4,内容: 本章涵盖以下学习目标：
    1. 相关成本分析：
    a. 解释相关成本的概念。
    b. 从给定数据中识别并计算特定决策情境下的相关成本。
    c. 解释并应用机会成本的概念。

    2. 制造或采购及其他短期决策：
    a. 解释有关制造与采购及外包决策的问题。
    b. 计算并比较“制造”成本与“采购”成本。
    c. 比较内部成本和外包完成任务的成本，并考虑与这些决策相关的其他问题。
    d. 在涉及停产、一次性合同和进一步处理联产品的情境中应用相关成本原则。})",[:属于],(:教学单元 {标题: Decision making techniques})
"(:章节 {中文: 相关成本分析,标题: Relevant cost analysis,编号: 4,内容: 本章涵盖以下学习目标：
    1. 相关成本分析：
    a. 解释相关成本的概念。
    b. 从给定数据中识别并计算特定决策情境下的相关成本。
    c. 解释并应用机会成本的概念。

    2. 制造或采购及其他短期决策：
    a. 解释有关制造与采购及外包决策的问题。
    b. 计算并比较“制造”成本与“采购”成本。
    c. 比较内部成本和外包完成任务的成本，并考虑与这些决策相关的其他问题。
    d. 在涉及停产、一次性合同和进一步处理联产品的情境中应用相关成本原则。})",[:包含],"(:知识点 {中文: 短期决策,考点: false,难点: false,回顾: false,标题: Short-term decision,内容: short-term decision includes one-off contract, outsourcing decision, shut-down decision and further processing decision. · All short-term decisions are based on the calculation of relevant costs, so we must clearly distinguish the relevant costs and non-relevant costs, and be able to accurately calculate the relevant costs.,重点: false})"
"(:章节 {中文: 相关成本分析,标题: Relevant cost analysis,编号: 4,内容: 本章涵盖以下学习目标：
    1. 相关成本分析：
    a. 解释相关成本的概念。
    b. 从给定数据中识别并计算特定决策情境下的相关成本。
    c. 解释并应用机会成本的概念。

    2. 制造或采购及其他短期决策：
    a. 解释有关制造与采购及外包决策的问题。
    b. 计算并比较“制造”成本与“采购”成本。
    c. 比较内部成本和外包完成任务的成本，并考虑与这些决策相关的其他问题。
    d. 在涉及停产、一次性合同和进一步处理联产品的情境中应用相关成本原则。})",[:包含],"(:知识点 {中文: 相关成本,考点: false,难点: false,回顾: false,标题: Relevant costs,内容: Relevant costs are those costs that are affected by a specific management decisions · Only those costs and revenues affected by a decision are \""relevant\"". Relevant costs are: · future costs and revenues; historical costs and revenues are not relevant, as they have already been incurred; · incremental (i.e. the amount by which costs/revenues will change due to the decision); if a course of action is not taken, incremental costs will be saved; and · cash flows (i.e. cash payments or receipts). Non-cash expenses and income are not relevant as they represent expenditure already made. For example, depreciation is a non-cash expense arising from the accounting treatment of an asset already acquired. A future decision does not change that acquisition. Profit or loss on disposal is similarly a non-cash item and, therefore, irrelevant. However, cash proceeds received on the disposal of an asset would be relevant if incremental to a decision.,重点: true})"
"(:章节 {中文: 相关成本分析,标题: Relevant cost analysis,编号: 4,内容: 本章涵盖以下学习目标：
    1. 相关成本分析：
    a. 解释相关成本的概念。
    b. 从给定数据中识别并计算特定决策情境下的相关成本。
    c. 解释并应用机会成本的概念。

    2. 制造或采购及其他短期决策：
    a. 解释有关制造与采购及外包决策的问题。
    b. 计算并比较“制造”成本与“采购”成本。
    c. 比较内部成本和外包完成任务的成本，并考虑与这些决策相关的其他问题。
    d. 在涉及停产、一次性合同和进一步处理联产品的情境中应用相关成本原则。})",[:包含],"(:知识点 {中文: 非相关成本,考点: false,难点: false,回顾: false,标题: Non-relevant costs,内容: Costs that are not belong to the relevant costs · There are a lot of costs that are traditional costs, and when you calculate traditional profit you need to deduct. However, it does not belong to the relevant costs when making decisions and does not need to be deducted. · Sunk costs– the historical cost of an asset is a past cost (money already spent) and said to be \""sunk\""; it is irrelevant to any decision. Examples of sunk costs include research and development costs already incurred and market research. · Committed costs (e.g. contract rental and lease payments) are similarly irrelevant – although future and cash flows, they are not incremental (even though they are future cash flows). However, if a contract is cancellable, such payments are not committed, and any penalty costs incurred in cancelling the contract would be relevant. · Fixed costs, incurred regardless of the decision being taken, are irrelevant (but an increment “step” in a fixed cost will be relevant). Allocations and apportionments of fixed costs (and similarly shared costs) are subjective (even arbitrary) and irrelevant to decisions. · Depreciation/amortisation and carrying values are irrelevant. Depreciation (also amortisation) is not a cash flow but a method of accounting for past capital expenditure. By the same argument, book values are not relevant as these are simply the result of historical costs and depreciation. Any realisable value of an asset (an incremental, future cash flow) would, however, be relevant. · Uncontrollable (\""non-controllable\"") costs can only be influenced indirectly by the person in charge of the budget or cost centre. Typically, these include \""management charges\"" (i.e. reallocated non-production overheads). Similarly, notional costs (e.g. recharges of head office costs or management charges), which do not increase as a result of the decision, are irrelevant.,重点: false})"
"(:章节 {中文: 相关成本分析,标题: Relevant cost analysis,编号: 4,内容: 本章涵盖以下学习目标：
    1. 相关成本分析：
    a. 解释相关成本的概念。
    b. 从给定数据中识别并计算特定决策情境下的相关成本。
    c. 解释并应用机会成本的概念。

    2. 制造或采购及其他短期决策：
    a. 解释有关制造与采购及外包决策的问题。
    b. 计算并比较“制造”成本与“采购”成本。
    c. 比较内部成本和外包完成任务的成本，并考虑与这些决策相关的其他问题。
    d. 在涉及停产、一次性合同和进一步处理联产品的情境中应用相关成本原则。})",[:包含],"(:知识点 {中文: 机会成本,考点: false,难点: false,回顾: false,标题: Opportunity cost,内容: The value of the benefit sacrificed when one course of action is chosen, in preference to an alternative · The opportunity cost is represented by the foregone potential benefit from the best rejected course of action. · Opportunity costs apply to the use of scarce resources; where resources are not scarce, no sacrifice results from using them. For example, the contribution a key worker is moved to a new project the contribution the worker would have generated if they had not been moved is an opportunity cost relevant to the new project. · Although the main benefit of an opportunity cost approach to decision making is that it recognises and takes into account what is given up by not selecting the next best alternative, it is not without difficulties as following: · How to estimate future costs/revenues and hence the benefit sacrificed. · Identifying alternative uses to know what is the best alternative foregone. · Lack of accounting for effects on accounting profit (i.e. accounting profits do not include opportunity costs and revenues). A course that reduces the reported accounting profit may be considered unacceptable even though it is the best decision under opportunity cost principles. · Also, as is true for any costing method, it ignores non-financial factors.,重点: false})"
"(:章节 {中文: 相关成本分析,标题: Relevant cost analysis,编号: 4,内容: 本章涵盖以下学习目标：
    1. 相关成本分析：
    a. 解释相关成本的概念。
    b. 从给定数据中识别并计算特定决策情境下的相关成本。
    c. 解释并应用机会成本的概念。

    2. 制造或采购及其他短期决策：
    a. 解释有关制造与采购及外包决策的问题。
    b. 计算并比较“制造”成本与“采购”成本。
    c. 比较内部成本和外包完成任务的成本，并考虑与这些决策相关的其他问题。
    d. 在涉及停产、一次性合同和进一步处理联产品的情境中应用相关成本原则。})",[:包含],"(:知识点 {中文: 一次性合同,考点: false,难点: false,回顾: false,标题: One-off contract,内容: One-off contract refers to that when receiving a purchase order from a customer, the company needs to consider whether the order is profitable and whether the company should accept the order. · One decision-making scenario is to decide how much to tender for a one-off contract. To make the decision, it is necessary to consider all the relevant costs of the contract to ensure that the revenue from the contract covers them. The minimum price that makes a contract worthwhile is equal to the relevant cost. This section provides further guidance concerning materials, labour and non-current assets which may be required for such contracts. · From a financial point of view, a contract should proceed if the revenue from the contract exceeds its relevant cost. However, management should also consider non-financial factors before making a final decision. Some of the non-financial factors that may be considered are: · A contract may be undertaken even if the revenue is not sufficient to cover the relevant costs if there are other reasons why the agreement is desirable. For · Undertaking a new type of contract may develop the business's knowledge and experience, which may be useful in obtaining subsequent business. · The contract may enhance the business's reputation (e.g. a contract for a high-profile customer). · A profitable contract may be declined if there is a high risk of reputational damage (e.g. if the agreement will harm the environment or involves activities that may be considered unethical).,重点: false})"
"(:章节 {中文: 相关成本分析,标题: Relevant cost analysis,编号: 4,内容: 本章涵盖以下学习目标：
    1. 相关成本分析：
    a. 解释相关成本的概念。
    b. 从给定数据中识别并计算特定决策情境下的相关成本。
    c. 解释并应用机会成本的概念。

    2. 制造或采购及其他短期决策：
    a. 解释有关制造与采购及外包决策的问题。
    b. 计算并比较“制造”成本与“采购”成本。
    c. 比较内部成本和外包完成任务的成本，并考虑与这些决策相关的其他问题。
    d. 在涉及停产、一次性合同和进一步处理联产品的情境中应用相关成本原则。})",[:包含],"(:知识点 {中文: 相关材料成本,考点: true,难点: true,回顾: false,标题: Relevant cost of materials,内容: One-off contracts usually require some materials, and we need to calculate the related cost of materials. · Where materials are required for a one-off contract, the following guidance, as summarised in the diagram that follows, can be used to determine the relevant cost: · If the materials required have not already been acquired, it will be necessary to buy them for the contract. The current market price is the relevant cost. · If the materials have already been acquired, it is necessary to consider whether they are used regularly in the business: · If used regularly, any materials consumed by the one-off contract will need to be replaced, so the replacement cost (the current market price) would be the relevant cost. · If used regularly, and replacements are not available, the relevant cost would be the opportunity cost, which would be the contribution foregone from regular production. · If not used regularly (e.g. they were acquired some time ago and there is no current use for them), the relevant cost is their opportunity cost. This is often their scrap value (i.e. disposal proceeds if the materials can be sold if not used in the contract). If there is no scrap value, the opportunity cost is $0. Or there could be an opportunity saving if the materials would otherwise have to be disposed of at a cost.,重点: true})"
"(:章节 {中文: 相关成本分析,标题: Relevant cost analysis,编号: 4,内容: 本章涵盖以下学习目标：
    1. 相关成本分析：
    a. 解释相关成本的概念。
    b. 从给定数据中识别并计算特定决策情境下的相关成本。
    c. 解释并应用机会成本的概念。

    2. 制造或采购及其他短期决策：
    a. 解释有关制造与采购及外包决策的问题。
    b. 计算并比较“制造”成本与“采购”成本。
    c. 比较内部成本和外包完成任务的成本，并考虑与这些决策相关的其他问题。
    d. 在涉及停产、一次性合同和进一步处理联产品的情境中应用相关成本原则。})",[:包含],"(:知识点 {中文: 相关劳动成本,考点: true,难点: true,回顾: false,标题: Relevant cost of labour,内容: One-off contracts usually require some labour, and we need to calculate the related cost of labour. · The relevant cost of labour can be determined from the following situations: · If the organisation has spare (idle) labour time that can be used on the contract, the relevant cost is zero. This might arise, for example, where workers are being paid a fixed weekly wage and are currently underemployed. · If additional labour time is required and can be obtained without taking workers away from other activities, the direct cost of the labour is relevant. This may be paid at a higher rate if overtime is involved. · If there is a limit on the amount of labour available, a contract may require workers to be taken away from other profitable activities. In this case, the relevant cost of labour is the direct cost plus the lost contribution from the other activities.,重点: true})"
"(:章节 {中文: 相关成本分析,标题: Relevant cost analysis,编号: 4,内容: 本章涵盖以下学习目标：
    1. 相关成本分析：
    a. 解释相关成本的概念。
    b. 从给定数据中识别并计算特定决策情境下的相关成本。
    c. 解释并应用机会成本的概念。

    2. 制造或采购及其他短期决策：
    a. 解释有关制造与采购及外包决策的问题。
    b. 计算并比较“制造”成本与“采购”成本。
    c. 比较内部成本和外包完成任务的成本，并考虑与这些决策相关的其他问题。
    d. 在涉及停产、一次性合同和进一步处理联产品的情境中应用相关成本原则。})",[:包含],"(:知识点 {中文: 相关非流动资产成本,考点: true,难点: false,回顾: false,标题: Relevant cost of non-current asset,内容: Non-current assets, such as machinery, may be required for a contract, and we need to calculate the related cost of non-current assets. · The relevant cost of such assets depends on how the organisation plans to obtain the use of it: · If the asset is to be rented (or hired), the rental costs over the period of use are relevant. · If the asset is to be acquired (purchased) for the contract, the cost of acquiring the asset (including related costs, such as delivery and installation) would be relevant. It may be that when the contract is completed, the asset can be sold. In this case, the expected proceeds from the sale will be relevant income that should be deducted from the total cost of acquiring the asset when calculating the relevant cost. · An asset such as the one that is required may already be owned. The relevant cost then depends on whether that asset is already operating at full capacity on other activities. · If the asset is not used for other purposes (or has spare capacity), the relevant cost is the fall in realisable value that will arise if the asset is used for the contract. · If the asset is already operating at full capacity, its relevant cost is its deprival value.,重点: true})"
"(:章节 {中文: 相关成本分析,标题: Relevant cost analysis,编号: 4,内容: 本章涵盖以下学习目标：
    1. 相关成本分析：
    a. 解释相关成本的概念。
    b. 从给定数据中识别并计算特定决策情境下的相关成本。
    c. 解释并应用机会成本的概念。

    2. 制造或采购及其他短期决策：
    a. 解释有关制造与采购及外包决策的问题。
    b. 计算并比较“制造”成本与“采购”成本。
    c. 比较内部成本和外包完成任务的成本，并考虑与这些决策相关的其他问题。
    d. 在涉及停产、一次性合同和进一步处理联产品的情境中应用相关成本原则。})",[:包含],"(:知识点 {中文: 可变现价值下降,考点: false,难点: false,回顾: false,标题: Fall in realisable value,内容: Fall in Realisable Value is the amount that decreases in value when non-current assets are used in a one-time contract. · If the asset is not used for other purposes (or has spare capacity), the assets can be used directly for one-off contracts, the relevant cost is the fall in realisable value that will arise if the asset is used for the contract.,重点: false})"
"(:章节 {中文: 相关成本分析,标题: Relevant cost analysis,编号: 4,内容: 本章涵盖以下学习目标：
    1. 相关成本分析：
    a. 解释相关成本的概念。
    b. 从给定数据中识别并计算特定决策情境下的相关成本。
    c. 解释并应用机会成本的概念。

    2. 制造或采购及其他短期决策：
    a. 解释有关制造与采购及外包决策的问题。
    b. 计算并比较“制造”成本与“采购”成本。
    c. 比较内部成本和外包完成任务的成本，并考虑与这些决策相关的其他问题。
    d. 在涉及停产、一次性合同和进一步处理联产品的情境中应用相关成本原则。})",[:包含],"(:知识点 {中文: 剥夺价值,考点: false,难点: false,回顾: false,标题: Deprival value,内容: Deprival value is the lowest cost option. · If an asset that is required for a contract is already owned but currently fully utilised in other activities, the business needs to decide whether to: · Buy an equivalent asset for the contract (i.e. incur the replacement cost); or · Transfer the asset from existing activities (i.e. forego its value in use). · The determination of deprival value can be thought of as a two-stage decision: · Decision 1 – Should the asset be kept in use in the business or sold? If an asset is in use, its economic value (EV) should be higher than its net realisable value (NRV). · Decision 2 – If deprived of the asset (e.g. through sale or use elsewhere), will it be replaced? To help formulate your answer.,重点: false})"
